input_file:  ../data/quantile_df.csv
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.41422558313271984 36
Getting score for:  LATITUDE_GRID1_clip 0.39322721643549957 36
Getting score for:  relief_mrvbf_3s_mosaic 0.40932722693538576 36
Getting score for:  Dose_2016 0.40891678382219604 36
Getting score for:  saga_wetSM_85_resampled 0.40876010647355654 36
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.386493204479011 36
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.4008156537474133 36
Results of  6  iteration: 0.3463574619681539 si_geol1
Staring experiment for:  36
Getting score for:  relief_elev_focalrange300m_3s 0.391689798258642 35
Getting score for:  Potassium_2016 0.40729892644918214 35
Getting score for:  slope_fill2 0.36939531401067494 35
Getting score for:  Clim_Prescott_LindaGregory 0.37201222223068964 35
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.4026444549446301 35
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.3867377972102783 35
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.3882057431628343 35
Getting score for:  clim_EPA_albers 0.4002662666822123 35
Getting score for:  relief_elev_focalrange1000m_3s 0.39192970433540175 35
Getting score for:  Rad2016U_Th 0.3373310075120368 35
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.39289953395426125 35
Getting score for:  tpi_300 0.3662105222733214 35
Getting score for:  clim_RSM_albers 0.3967826639058448 35
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.36752404779563635 35
Getting score for:  3dem_mag0.fin 0.35886655402645684 35
Getting score for:  Rad2016K_Th 0.3693011178047 35
Getting score for:  clim_PTA_albers 0.3598600414939598 35
Getting score for:  water-85m 0.3827677511410763 35
Getting score for:  ceno_euc_aust1 0.3954573649198198 35
Getting score for:  3dem_mag2 0.3823580600332278 35
Getting score for:  Thorium_2016 0.38076910709735656 35
Getting score for:  mrvbf_9 0.36917871956145265 35
Getting score for:  clim_WDA_albers 0.3886613840651504 35
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.358371932799104 35
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.3586915318167303 35
Getting score for:  be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata 0.33383730944290824 35
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.34755389900334055 35
Getting score for:  s2-dpca-85m 0.3772749924947137 35
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.3727654026314729 35
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.4007173215941909 35
Getting score for:  LATITUDE_GRID1_clip 0.38749060564521715 35
Getting score for:  relief_mrvbf_3s_mosaic 0.34432645873690154 35
Getting score for:  Dose_2016 0.359680257845446 35
Getting score for:  saga_wetSM_85_resampled 0.3433614327772119 35
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.3427740651409974 35
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.36015039267709836 35
Results of  7  iteration: 0.33383730944290824 be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata
Staring experiment for:  35
Getting score for:  relief_elev_focalrange300m_3s 0.3738028477022925 34
Getting score for:  Potassium_2016 0.3961833876563112 34
Getting score for:  slope_fill2 0.30068899846619845 34
Getting score for:  Clim_Prescott_LindaGregory 0.35698644732346285 34
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.3773412856608529 34
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.366170246536618 34
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.3824453255158921 34
Getting score for:  clim_EPA_albers 0.36323664548595563 34
Getting score for:  relief_elev_focalrange1000m_3s 0.38794061384209166 34
Getting score for:  Rad2016U_Th 0.33139277115933913 34
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.3047319652221644 34
Getting score for:  tpi_300 0.3767034548843802 34
